,fam,form,score,SAC,total
2,0.0,1,2,0,2
4,0.0,2,3,1,4
5,1.0,1,2,2,4
6,0.0,3,1,0,1
7,1.0,3,1,1,2
8,1.0,2,2,0,2
9,0.0,0,3,2,5
10,1.0,0,1,2,3
11,0.0,0,2,0,2
12,0.0,0,3,2,5
13,0.0,0,2,1,3
14,0.0,3,2,2,4
15,1.0,2,1,0,1
16,1.0,1,0,0,0
17,1.0,1,0,1,1
18,0.0,2,3,0,3
19,0.0,2,1,0,1
20,0.0,3,0,0,0
21,0.0,2,0,1,1
22,1.0,3,1,0,1
23,1.0,1,3,0,3
24,1.0,3,1,0,1
25,0.0,0,3,2,5
26,1.0,1,3,2,5
27,0.0,1,3,2,5
28,0.0,0,3,2,5
29,1.0,2,3,1,4
30,0.0,3,1,2,3
31,0.0,2,2,0,2
32,1.0,2,1,0,1
33,0.0,3,2,0,2
34,0.0,0,2,0,2
35,0.0,0,2,1,3
36,0.0,0,2,2,4
37,1.0,0,0,0,0
38,0.0,0,2,2,4
39,0.0,0,3,1,4
42,0.0,0,2,2,4
44,0.0,0,3,2,5
45,0.0,0,2,0,2
46,0.0,0,3,2,5
47,0.0,0,3,2,5
48,0.0,1,1,0,1
49,0.0,1,3,1,4
50,1.0,0,3,2,5
51,0.0,0,2,1,3
52,1.0,1,3,0,3
53,0.0,1,2,1,3
54,0.0,0,3,2,5
55,1.0,0,3,2,5
56,0.0,3,2,2,4
57,0.0,3,1,1,2
58,1.0,3,1,0,1
59,0.0,3,3,2,5
60,0.0,2,2,0,2
61,0.0,2,2,0,2
62,0.0,2,3,2,5
63,1.0,2,2,2,4
64,0.0,1,1,2,3
65,0.0,3,2,0,2
66,0.0,3,2,1,3
67,1.0,1,2,1,3
68,0.0,1,0,1,1
69,0.0,1,2,1,3
70,0.0,1,3,0,3
71,0.0,1,2,1,3
72,1.0,0,3,1,4
73,0.0,2,2,1,3
74,1.0,2,2,1,3
75,0.0,2,3,2,5
76,0.0,2,2,0,2
77,0.0,3,1,0,1
78,1.0,1,3,2,5
79,0.0,3,1,1,2
80,0.0,2,2,0,2
81,0.0,3,1,0,1
82,1.0,3,2,1,3
83,1.0,2,1,0,1
84,0.0,3,1,1,2
85,1.0,2,3,2,5
86,0.0,1,1,1,2
87,0.0,1,3,1,4
88,0.0,1,2,1,3
89,0.0,3,3,1,4
92,0.0,3,1,1,2
93,0.0,2,1,1,2
94,0.0,2,1,1,2
95,0.0,1,3,1,4
96,0.0,2,2,0,2
97,0.0,2,3,2,5
98,0.0,1,2,2,4
99,1.0,1,2,2,4
100,1.0,3,3,1,4
101,1.0,3,2,1,3
102,0.0,3,1,2,3
103,0.0,2,3,2,5
104,0.0,1,3,0,3
105,0.0,1,2,0,2
106,1.0,1,1,2,3
107,0.0,2,2,0,2
108,0.0,2,2,0,2
110,1.0,3,3,2,5
111,1.0,2,1,2,3
112,0.0,0,2,0,2
113,0.0,1,2,1,3
114,0.0,0,0,0,0
115,0.0,0,3,2,5
116,0.0,0,3,1,4
117,0.0,2,3,2,5
118,0.0,2,3,1,4
119,0.0,3,2,0,2
121,0.0,1,3,2,5
122,1.0,1,2,2,4
123,1.0,1,3,2,5
124,0.0,2,0,1,1
126,0.0,1,2,2,4
127,1.0,0,2,0,2
128,1.0,2,2,1,3
129,1.0,2,3,2,5
130,1.0,3,3,0,3
131,0.0,0,3,1,4
132,0.0,3,1,0,1
133,1.0,0,2,0,2
134,0.0,1,3,2,5
135,0.0,2,3,1,4
136,0.0,3,2,1,3
137,1.0,0,2,1,3
138,1.0,1,2,1,3
139,0.0,1,3,2,5
140,0.0,2,3,2,5
141,1.0,3,3,1,4
142,1.0,3,3,1,4
143,0.0,2,1,1,2
144,0.0,0,3,2,5
145,0.0,0,1,2,3
147,0.0,1,2,1,3
148,1.0,2,3,2,5
149,1.0,2,3,1,4
150,0.0,2,1,0,1
151,0.0,3,3,1,4
152,0.0,0,3,2,5
153,0.0,0,1,1,2
154,1.0,0,2,1,3
155,1.0,1,2,0,2
156,0.0,3,1,1,2
157,0.0,3,2,1,3
158,0.0,1,1,1,2
159,1.0,2,2,2,4
160,0.0,3,3,1,4
161,1.0,3,3,1,4
162,0.0,0,3,2,5
164,0.0,2,2,1,3
165,0.0,0,3,0,3
166,0.0,1,3,2,5
167,0.0,1,0,0,0
168,0.0,1,2,2,4
169,0.0,1,3,1,4
170,0.0,2,3,2,5
171,0.0,3,2,0,2
172,0.0,0,2,1,3
173,0.0,0,2,2,4
174,0.0,0,1,0,1
175,0.0,2,1,0,1
176,1.0,3,2,1,3
177,0.0,2,3,2,5
178,1.0,3,2,1,3
179,0.0,2,1,1,2
180,1.0,3,0,0,0
181,0.0,0,2,1,3
182,1.0,1,2,1,3
183,0.0,2,0,0,0
184,0.0,3,2,1,3
185,0.0,0,3,2,5
186,0.0,1,3,2,5
187,0.0,2,0,0,0
189,1.0,3,1,0,1
190,0.0,2,2,1,3
192,0.0,0,2,2,4
193,1.0,1,1,0,1
195,0.0,0,2,2,4
196,0.0,1,2,0,2
197,0.0,3,2,0,2
198,1.0,0,1,1,2
199,0.0,1,2,1,3
200,0.0,3,2,0,2
201,0.0,3,1,1,2
202,0.0,0,3,2,5
203,0.0,3,2,2,4
205,1.0,1,2,0,2
206,1.0,2,2,1,3
207,0.0,0,1,0,1
208,0.0,1,2,0,2
209,0.0,2,1,0,1
210,0.0,2,1,1,2
211,1.0,0,2,0,2
212,1.0,1,2,2,4
213,0.0,0,2,2,4
214,1.0,0,3,1,4
215,0.0,1,0,0,0
216,0.0,2,2,1,3
217,0.0,3,1,0,1
218,0.0,3,3,0,3
219,1.0,1,2,2,4
220,1.0,1,2,1,3
221,0.0,2,1,0,1
222,1.0,0,2,1,3
223,0.0,2,3,2,5
224,1.0,3,1,0,1
225,1.0,0,2,1,3
230,0.0,1,2,2,4
231,0.0,2,2,2,4
232,0.0,3,2,0,2
233,1.0,1,2,0,2
234,0.0,1,3,1,4
235,0.0,2,1,2,3
236,0.0,3,2,1,3
238,0.0,2,2,1,3
239,1.0,2,2,0,2
240,0.0,1,3,2,5
241,0.0,3,3,1,4
242,1.0,1,2,1,3
243,0.0,2,0,0,0
244,0.0,3,1,1,2
245,1.0,0,2,1,3
247,0.0,1,3,1,4
248,1.0,2,2,1,3
249,1.0,0,2,2,4
250,0.0,1,2,1,3
251,1.0,2,2,0,2
253,0.0,3,2,1,3
254,0.0,0,2,0,2
264,0.0,2,3,1,4
266,0.0,1,0,0,0
267,1.0,2,3,0,3
269,0.0,3,1,1,2
270,1.0,3,1,0,1
271,1.0,0,1,0,1
273,0.0,0,2,2,4
275,1.0,2,2,0,2
276,0.0,1,1,1,2
277,1.0,3,1,0,1
278,1.0,0,3,1,4
279,1.0,2,3,2,5
280,0.0,3,0,1,1
281,0.0,0,3,1,4
1,1.0,2,3,2,5
2,0.0,3,2,2,4
3,1.0,3,0,1,1
4,1.0,0,2,2,4
5,1.0,3,1,1,2
6,1.0,1,3,2,5
7,1.0,1,1,0,1
9,1.0,2,2,2,4
10,1.0,2,0,1,1
11,0.0,2,1,1,2
12,0.0,2,1,2,3
13,0.0,2,3,2,5
14,0.0,1,2,2,4
15,1.0,0,2,2,4
16,1.0,3,1,2,3
17,0.0,3,1,0,1
18,1.0,0,3,2,5
19,0.0,0,2,1,3
20,0.0,1,2,1,3
21,0.0,0,1,1,2
22,0.0,1,2,0,2
23,1.0,3,0,2,2
24,1.0,1,1,1,2
25,0.0,2,3,1,4
27,0.0,3,3,2,5
28,0.0,2,1,2,3
29,1.0,0,3,2,5
30,0.0,1,3,2,5
31,0.0,0,2,0,2
32,1.0,0,2,2,4
33,1.0,1,3,1,4
34,0.0,2,2,0,2
35,0.0,2,1,2,3
36,0.0,2,3,1,4
38,0.0,2,3,2,5
39,0.0,2,2,1,3
42,0.0,2,1,1,2
43,1.0,2,1,2,3
44,1.0,2,2,1,3
45,1.0,2,2,2,4
46,0.0,2,3,2,5
47,1.0,2,2,1,3
48,1.0,3,1,2,3
49,0.0,3,2,1,3
50,1.0,2,2,2,4
52,0.0,3,2,0,2
53,0.0,3,3,2,5
54,0.0,2,2,2,4
55,1.0,2,1,2,3
56,0.0,1,3,2,5
57,0.0,1,3,2,5
58,1.0,1,2,2,4
59,0.0,1,3,2,5
60,1.0,0,2,1,3
61,0.0,0,3,2,5
62,1.0,0,3,2,5
63,0.0,0,2,2,4
64,1.0,3,3,2,5
65,1.0,1,1,1,2
67,1.0,3,3,2,5
68,0.0,3,1,0,1
69,1.0,3,3,2,5
70,1.0,3,3,2,5
71,0.0,3,2,1,3
73,0.0,0,3,2,5
74,1.0,0,2,2,4
75,0.0,0,3,2,5
76,1.0,0,3,1,4
77,0.0,1,3,1,4
78,0.0,3,2,0,2
79,0.0,1,2,1,3
80,0.0,0,3,2,5
81,0.0,1,2,2,4
82,0.0,1,2,2,4
83,1.0,0,3,2,5
84,0.0,1,3,1,4
86,0.0,3,1,1,2
87,1.0,3,3,0,3
88,1.0,3,3,2,5
89,0.0,1,3,1,4
90,0.0,1,2,2,4
92,0.0,1,2,2,4
93,0.0,0,3,2,5
94,0.0,0,3,2,5
95,0.0,3,3,1,4
96,0.0,0,2,2,4
97,0.0,0,3,2,5
98,0.0,3,3,2,5
99,1.0,3,1,1,2
100,1.0,1,3,2,5
101,1.0,1,3,2,5
102,1.0,1,3,2,5
103,0.0,0,3,2,5
104,0.0,3,2,1,3
105,0.0,3,2,2,4
106,1.0,3,2,2,4
107,0.0,0,1,2,3
108,1.0,0,2,2,4
111,0.0,0,3,2,5
112,0.0,2,3,2,5
113,0.0,3,3,2,5
115,0.0,2,3,2,5
116,0.0,2,2,1,3
117,0.0,0,3,2,5
118,1.0,0,2,1,3
119,1.0,1,3,2,5
121,0.0,3,3,2,5
122,1.0,3,3,2,5
123,0.0,3,1,2,3
124,1.0,0,3,1,4
126,1.0,3,1,2,3
127,1.0,2,2,1,3
128,0.0,0,2,2,4
130,1.0,1,3,2,5
131,0.0,2,2,1,3
132,0.0,1,1,0,1
134,0.0,3,3,2,5
135,1.0,0,2,2,4
136,1.0,1,2,2,4
137,1.0,2,1,1,2
139,1.0,3,2,2,4
140,0.0,0,2,2,4
141,1.0,1,3,2,5
142,0.0,1,2,2,4
143,1.0,0,1,1,2
144,1.0,2,3,1,4
145,0.0,2,3,1,4
146,1.0,3,3,1,4
147,1.0,3,2,2,4
149,0.0,0,3,2,5
150,0.0,0,1,2,3
151,0.0,1,3,2,5
152,0.0,2,2,1,3
153,0.0,2,0,0,0
154,1.0,2,2,1,3
155,0.0,3,3,1,4
156,0.0,1,3,2,5
157,0.0,1,3,2,5
158,0.0,3,2,2,4
159,0.0,0,3,1,4
160,0.0,1,2,1,3
161,0.0,1,1,2,3
162,0.0,2,2,1,3
163,1.0,3,0,2,2
164,0.0,0,3,1,4
165,1.0,2,3,1,4
166,1.0,3,1,2,3
167,0.0,3,1,2,3
168,0.0,3,3,1,4
170,1.0,0,3,2,5
171,1.0,1,3,2,5
172,0.0,2,2,2,4
173,1.0,2,2,1,3
174,1.0,2,2,1,3
175,0.0,0,3,2,5
176,1.0,1,2,1,3
177,0.0,0,3,2,5
178,1.0,1,2,2,4
179,0.0,0,1,1,2
180,1.0,1,3,2,5
181,1.0,2,1,2,3
182,1.0,3,3,2,5
183,0.0,0,1,0,1
184,0.0,1,3,1,4
185,1.0,2,2,0,2
186,1.0,3,3,2,5
187,0.0,0,2,0,2
188,1.0,0,2,1,3
190,0.0,0,3,2,5
192,0.0,2,3,0,3
193,1.0,3,1,1,2
196,0.0,3,2,1,3
197,0.0,1,1,2,3
198,1.0,2,0,2,2
199,1.0,3,1,1,2
200,0.0,1,3,0,3
201,0.0,1,2,2,4
202,1.0,2,3,2,5
203,0.0,1,3,2,5
205,1.0,3,3,0,3
206,1.0,0,2,1,3
207,0.0,2,1,2,3
208,1.0,3,2,0,2
209,0.0,0,2,2,4
210,0.0,0,3,2,5
211,1.0,2,2,2,4
212,1.0,3,1,1,2
213,0.0,2,2,2,4
214,0.0,2,1,0,1
215,0.0,3,0,0,0
216,0.0,0,1,1,2
217,0.0,1,3,1,4
218,1.0,1,3,2,5
219,0.0,3,1,1,2
220,1.0,3,2,1,3
221,1.0,0,1,1,2
222,0.0,2,1,2,3
223,0.0,0,3,2,5
224,0.0,1,2,2,4
225,1.0,2,2,0,2
230,0.0,3,3,0,3
231,0.0,0,3,2,5
232,0.0,1,3,2,5
234,0.0,3,2,2,4
235,0.0,0,2,2,4
236,0.0,1,1,2,3
238,1.0,0,2,0,2
239,0.0,0,1,2,3
240,0.0,3,1,1,2
241,0.0,1,1,0,1
242,1.0,3,2,2,4
243,0.0,0,0,0,0
244,0.0,1,1,0,1
245,0.0,2,3,2,5
247,1.0,3,2,2,4
248,1.0,0,3,2,5
250,1.0,3,1,1,2
251,1.0,0,2,2,4
253,0.0,1,1,1,2
254,0.0,2,0,1,1
258,1.0,3,2,1,3
261,1.0,1,2,2,4
262,1.0,2,1,1,2
263,0.0,1,3,2,5
264,0.0,0,2,2,4
266,0.0,3,0,0,0
267,1.0,0,1,2,3
268,1.0,0,1,1,2
269,1.0,1,1,2,3
270,1.0,1,2,0,2
271,1.0,2,1,1,2
272,1.0,3,2,2,4
273,1.0,2,2,0,2
275,1.0,0,2,2,4
276,0.0,3,0,1,1
277,1.0,1,3,2,5
278,1.0,2,1,1,2
279,1.0,0,3,2,5
280,0.0,1,1,1,2
281,1.0,2,1,2,3
1,1.0,1,2,1,3
2,0.0,2,1,1,2
3,1.0,2,1,0,1
4,1.0,3,3,2,5
5,1.0,2,2,0,2
6,0.0,0,1,1,2
7,1.0,0,3,1,4
8,1.0,3,1,1,2
9,1.0,1,2,2,4
10,1.0,1,3,1,4
11,0.0,1,3,1,4
12,1.0,1,3,0,3
14,0.0,0,3,1,4
15,1.0,3,0,2,2
16,1.0,2,1,0,1
17,1.0,2,2,0,2
18,1.0,3,3,0,3
19,1.0,3,2,0,2
20,0.0,0,1,1,2
21,0.0,3,2,2,4
22,0.0,0,1,0,1
23,1.0,2,1,1,2
24,1.0,0,2,2,4
25,0.0,1,2,2,4
26,1.0,2,2,2,4
27,1.0,2,2,2,4
28,1.0,1,2,2,4
30,0.0,0,2,2,4
31,0.0,3,1,0,1
32,1.0,3,1,2,3
33,1.0,0,2,2,4
34,0.0,1,3,0,3
35,0.0,1,1,2,3
36,0.0,1,3,1,4
37,1.0,1,2,1,3
38,1.0,1,2,2,4
39,0.0,1,3,1,4
42,1.0,1,2,0,2
44,1.0,1,3,2,5
46,0.0,1,2,2,4
47,1.0,1,2,1,3
48,1.0,2,2,1,3
49,1.0,2,2,2,4
51,1.0,1,2,1,3
52,1.0,2,1,0,1
53,0.0,2,3,0,3
54,1.0,1,2,2,4
55,1.0,1,3,2,5
56,0.0,0,3,2,5
57,1.0,0,2,2,4
58,1.0,0,3,1,4
59,0.0,0,3,2,5
60,1.0,3,2,1,3
61,0.0,3,2,0,2
63,1.0,3,2,2,4
64,1.0,2,2,2,4
65,0.0,0,2,1,3
66,1.0,0,2,2,4
67,1.0,2,2,1,3
68,0.0,2,2,1,3
69,0.0,2,2,1,3
70,0.0,2,2,1,3
71,0.0,2,2,2,4
73,0.0,3,2,0,2
74,1.0,3,2,2,4
75,1.0,3,1,2,3
76,1.0,3,1,0,1
78,0.0,2,3,1,4
79,0.0,0,2,1,3
80,0.0,3,2,1,3
81,0.0,0,2,2,4
83,1.0,3,2,1,3
84,1.0,0,2,1,3
86,1.0,2,2,0,2
87,1.0,2,2,1,3
88,1.0,2,2,2,4
89,0.0,0,3,1,4
90,1.0,0,2,1,3
92,1.0,0,2,1,3
93,0.0,3,2,2,4
94,0.0,3,2,2,4
95,1.0,2,2,1,3
96,0.0,3,2,0,2
97,0.0,3,2,2,4
98,1.0,2,2,1,3
99,1.0,2,2,2,4
100,1.0,0,2,0,2
101,1.0,0,2,2,4
102,0.0,0,2,2,4
103,1.0,3,1,2,3
104,0.0,2,1,0,1
105,0.0,2,1,1,2
106,1.0,2,0,2,2
107,1.0,3,2,0,2
108,1.0,3,1,1,2
111,1.0,3,1,1,2
112,0.0,1,2,1,3
113,0.0,2,1,0,1
114,1.0,1,3,1,4
115,1.0,1,2,2,4
116,0.0,1,3,2,5
117,1.0,3,2,2,4
118,1.0,3,3,2,5
119,0.0,0,3,2,5
120,1.0,0,3,2,5
121,1.0,2,3,2,5
122,1.0,2,2,1,3
123,1.0,2,3,2,5
124,1.0,3,1,1,2
126,1.0,2,2,1,3
127,1.0,1,1,0,1
128,1.0,3,2,2,4
129,1.0,3,2,1,3
130,1.0,0,3,2,5
131,0.0,1,3,2,5
132,0.0,0,1,1,2
134,1.0,2,3,2,5
135,1.0,3,3,1,4
137,1.0,1,2,1,3
138,1.0,2,2,1,3
140,1.0,3,3,1,4
141,1.0,0,3,1,4
142,1.0,0,3,1,4
143,1.0,3,2,1,3
144,1.0,1,2,2,4
145,1.0,1,3,1,4
146,1.0,2,1,2,3
147,1.0,2,0,1,1
150,0.0,3,1,0,1
151,0.0,0,3,1,4
152,1.0,1,2,2,4
153,0.0,1,1,0,1
154,1.0,1,2,2,4
155,1.0,2,2,0,2
156,1.0,0,2,2,4
157,0.0,0,3,0,3
158,1.0,2,2,1,3
159,1.0,3,1,1,2
160,1.0,0,3,2,5
161,1.0,0,2,2,4
162,0.0,1,3,2,5
164,1.0,3,2,1,3
165,1.0,1,2,1,3
166,1.0,2,2,2,4
167,0.0,2,1,0,1
168,1.0,2,3,1,4
170,1.0,3,2,2,4
171,1.0,0,1,2,3
172,0.0,1,3,2,5
174,1.0,1,2,1,3
175,1.0,3,2,0,2
176,1.0,0,2,1,3
177,0.0,3,2,2,4
178,1.0,0,3,2,5
179,1.0,3,0,2,2
180,0.0,0,3,1,4
181,1.0,1,2,1,3
182,1.0,2,2,2,4
183,1.0,3,3,1,4
184,1.0,0,2,1,3
185,1.0,1,3,2,5
186,1.0,2,2,2,4
187,0.0,3,1,0,1
188,1.0,3,3,2,5
190,1.0,3,2,1,3
192,1.0,1,0,2,2
195,1.0,1,2,2,4
196,1.0,2,2,1,3
197,1.0,0,1,1,2
198,1.0,1,2,0,2
199,1.0,2,2,1,3
200,1.0,0,2,0,2
201,1.0,0,3,1,4
202,1.0,1,3,2,5
203,1.0,0,2,2,4
205,1.0,2,3,0,3
207,0.0,1,2,1,3
208,1.0,2,1,0,1
209,1.0,3,2,1,3
210,1.0,3,2,0,2
211,1.0,1,2,2,4
212,1.0,2,2,1,3
213,0.0,1,3,2,5
214,1.0,1,2,0,2
215,0.0,2,1,0,1
216,1.0,3,2,0,2
217,0.0,0,3,1,4
219,1.0,2,3,1,4
220,1.0,2,2,1,3
221,1.0,3,1,0,1
222,1.0,1,2,2,4
223,1.0,3,1,1,2
224,1.0,0,1,0,1
225,1.0,1,3,2,5
230,0.0,2,3,2,5
231,1.0,3,1,1,2
232,1.0,0,1,2,3
233,1.0,2,1,1,2
234,1.0,2,2,2,4
235,1.0,3,1,2,3
236,0.0,0,0,2,2
239,1.0,3,1,1,2
240,0.0,2,3,2,5
241,0.0,0,1,1,2
242,1.0,2,2,1,3
243,0.0,3,2,0,2
245,0.0,1,3,0,3
248,1.0,3,1,1,2
249,1.0,1,3,1,4
250,1.0,2,1,1,2
251,1.0,3,2,2,4
253,0.0,0,2,1,3
254,0.0,1,1,0,1
257,1.0,1,0,0,0
258,0.0,2,2,0,2
261,1.0,0,2,2,4
262,0.0,1,3,0,3
263,0.0,0,1,2,3
264,1.0,3,0,1,1
266,0.0,2,0,0,0
267,1.0,3,3,1,4
268,0.0,3,3,1,4
269,1.0,0,2,2,4
270,1.0,0,2,0,2
271,1.0,1,2,1,3
273,1.0,1,2,2,4
275,1.0,3,3,2,5
276,0.0,2,2,1,3
277,1.0,0,2,2,4
278,1.0,1,3,2,5
279,1.0,3,1,0,1
280,0.0,0,1,0,1
281,1.0,1,1,1,2
1,1.0,3,2,2,4
2,0.0,0,2,2,4
3,0.0,0,2,0,2
4,0.0,1,2,2,4
5,1.0,0,2,2,4
6,0.0,2,2,2,4
8,1.0,1,3,2,5
9,0.0,3,3,1,4
10,1.0,3,3,0,3
11,0.0,3,3,2,5
12,1.0,3,3,0,3
13,1.0,3,3,2,5
14,0.0,2,0,1,1
16,1.0,0,3,2,5
17,1.0,0,1,0,1
18,1.0,1,2,0,2
19,1.0,1,3,2,5
20,0.0,2,2,1,3
21,0.0,1,2,0,2
22,0.0,2,1,0,1
23,1.0,0,3,0,3
24,1.0,2,3,1,4
25,0.0,3,2,2,4
27,0.0,0,3,2,5
28,1.0,3,1,1,2
29,1.0,1,3,2,5
30,0.0,2,3,1,4
31,0.0,1,3,2,5
32,1.0,1,3,2,5
33,1.0,2,2,1,3
34,0.0,3,3,0,3
35,0.0,3,3,1,4
36,0.0,3,2,1,3
37,1.0,3,3,0,3
38,0.0,3,3,1,4
39,0.0,3,3,1,4
42,0.0,3,2,2,4
43,1.0,3,3,2,5
45,1.0,3,3,0,3
46,0.0,3,3,1,4
47,0.0,3,3,1,4
48,1.0,0,3,1,4
49,0.0,0,3,0,3
50,1.0,3,3,2,5
51,0.0,3,3,0,3
52,0.0,0,2,0,2
53,0.0,0,3,1,4
54,1.0,3,3,2,5
55,1.0,3,3,2,5
56,0.0,2,3,1,4
57,0.0,2,3,2,5
58,1.0,2,3,0,3
59,0.0,2,2,2,4
60,1.0,1,1,0,1
61,0.0,1,3,1,4
62,0.0,1,3,2,5
63,1.0,1,1,0,1
64,1.0,0,3,2,5
65,0.0,2,1,2,3
66,0.0,2,2,2,4
67,0.0,0,3,2,5
68,0.0,0,3,1,4
69,0.0,0,3,1,4
70,1.0,0,2,2,4
71,0.0,0,3,2,5
72,1.0,3,2,1,3
73,0.0,1,3,2,5
74,1.0,1,3,2,5
75,0.0,1,2,0,2
76,0.0,1,2,0,2
77,0.0,2,3,1,4
78,1.0,0,3,2,5
79,0.0,2,3,0,3
80,0.0,1,2,2,4
81,0.0,2,3,1,4
82,1.0,2,3,2,5
83,1.0,1,1,2,3
84,1.0,2,3,1,4
85,1.0,1,3,2,5
86,0.0,0,2,1,3
87,1.0,0,2,2,4
88,1.0,0,3,2,5
89,0.0,2,3,2,5
90,0.0,2,1,2,3
92,0.0,2,3,1,4
93,1.0,1,3,1,4
94,1.0,1,3,2,5
95,0.0,0,3,2,5
96,0.0,1,3,1,4
97,0.0,1,3,2,5
98,1.0,0,2,1,3
99,1.0,0,3,2,5
100,1.0,2,3,0,3
101,1.0,2,2,0,2
102,0.0,2,2,2,4
103,0.0,1,3,2,5
104,0.0,0,2,0,2
105,0.0,0,3,2,5
106,1.0,0,3,2,5
107,0.0,1,3,1,4
108,0.0,1,2,1,3
110,1.0,2,2,1,3
111,0.0,1,2,1,3
112,0.0,3,3,0,3
113,0.0,0,2,1,3
114,1.0,3,2,2,4
115,1.0,3,3,2,5
116,1.0,3,3,1,4
117,0.0,1,2,2,4
118,0.0,1,3,2,5
119,1.0,2,3,1,4
120,1.0,2,3,2,5
121,0.0,0,2,2,4
122,1.0,0,3,0,3
123,0.0,0,3,2,5
124,0.0,1,2,0,2
125,0.0,2,0,0,0
126,0.0,0,2,2,4
127,1.0,3,2,0,2
128,0.0,1,2,1,3
129,1.0,1,2,1,3
130,1.0,2,3,2,5
131,0.0,3,3,1,4
132,0.0,2,2,0,2
133,1.0,3,1,0,1
134,0.0,0,3,2,5
135,0.0,1,3,1,4
137,0.0,3,2,1,3
139,1.0,0,1,2,3
140,0.0,1,3,1,4
141,1.0,2,3,2,5
142,0.0,2,3,2,5
143,0.0,1,2,0,2
144,0.0,3,3,2,5
145,1.0,3,3,2,5
146,1.0,0,3,2,5
147,1.0,0,2,2,4
149,1.0,1,2,1,3
150,0.0,1,3,1,4
151,0.0,2,3,2,5
152,1.0,3,2,0,2
153,0.0,3,3,0,3
154,0.0,3,2,0,2
155,0.0,0,2,0,2
156,0.0,2,3,2,5
157,0.0,2,3,1,4
158,0.0,0,2,1,3
159,0.0,1,1,2,3
160,0.0,2,2,1,3
161,0.0,2,3,1,4
162,0.0,3,3,2,5
163,1.0,0,3,2,5
164,0.0,1,2,0,2
166,0.0,0,3,2,5
167,1.0,0,3,0,3
168,0.0,0,2,2,4
169,1.0,0,3,2,5
170,0.0,1,2,2,4
171,0.0,2,3,1,4
172,1.0,3,2,2,4
173,0.0,3,3,2,5
174,1.0,3,1,0,1
175,1.0,1,3,0,3
176,1.0,2,1,1,2
177,0.0,1,3,2,5
178,1.0,2,2,2,4
179,1.0,1,3,2,5
180,0.0,2,2,1,3
181,0.0,3,3,2,5
182,1.0,0,2,2,4
183,0.0,1,2,0,2
184,0.0,2,3,0,3
185,1.0,3,3,2,5
186,0.0,0,2,2,4
187,0.0,1,2,1,3
188,0.0,1,3,1,4
190,0.0,1,3,2,5
193,0.0,0,2,0,2
194,1.0,2,3,1,4
195,1.0,3,3,1,4
196,0.0,0,3,2,5
197,0.0,2,3,2,5
198,1.0,3,2,2,4
199,1.0,0,2,2,4
200,1.0,2,3,0,3
201,0.0,2,2,1,3
202,0.0,3,3,2,5
203,0.0,2,3,2,5
205,1.0,0,3,0,3
206,1.0,1,1,1,2
207,0.0,3,2,0,2
208,0.0,0,2,0,2
209,0.0,1,2,2,4
210,1.0,1,2,1,3
211,1.0,3,1,1,2
212,1.0,0,2,1,3
213,0.0,3,3,2,5
214,0.0,3,3,1,4
215,0.0,0,2,0,2
216,1.0,1,3,1,4
217,0.0,2,2,0,2
218,0.0,2,3,2,5
219,0.0,0,2,2,4
220,1.0,0,2,0,2
221,0.0,1,2,2,4
222,1.0,3,3,1,4
223,0.0,1,2,2,4
224,1.0,2,2,0,2
225,1.0,3,3,2,5
230,0.0,0,3,1,4
231,1.0,1,3,2,5
232,1.0,2,3,2,5
233,1.0,0,3,0,3
234,0.0,0,3,2,5
235,0.0,1,3,2,5
236,0.0,2,3,1,4
238,1.0,1,1,1,2
241,1.0,2,3,2,5
242,1.0,0,3,1,4
243,0.0,1,0,0,0
244,0.0,2,1,2,3
245,1.0,3,2,1,3
247,0.0,0,3,2,5
248,1.0,1,3,2,5
249,0.0,3,3,2,5
250,0.0,0,2,1,3
251,1.0,1,3,2,5
253,0.0,2,3,2,5
254,0.0,3,0,0,0
257,1.0,3,0,0,0
260,1.0,1,3,2,5
262,1.0,3,2,1,3
264,1.0,1,1,0,1
266,0.0,0,0,0,0
267,1.0,1,3,2,5
269,1.0,2,3,2,5
270,1.0,2,2,0,2
271,1.0,3,2,0,2
273,0.0,3,3,2,5
276,0.0,0,2,2,4
277,1.0,2,3,2,5
278,1.0,3,2,1,3
279,1.0,1,3,2,5
280,0.0,2,3,2,5
281,1.0,3,2,2,4
